"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.015470155E1,4.301833180E1,1.382044276E1,1.039494236E2,1.481254883E2,1.730000019E0,2.793999939E2,4.972789078E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.115319218E1,4.301833379E1,1.382042052E1,1.041172649E2,1.482933960E2,1.639999986E0,2.752000122E2,5.162607301E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.215123103E1,4.301833651E1,1.382039747E1,1.049863997E2,1.491625977E2,1.720000029E0,2.846000061E2,5.344947082E-2,3.790092468E0,3.000000000E0,2.600000000E1
3.315263238E1,4.301833947E1,1.382037541E1,1.063219082E2,1.504981689E2,1.679999948E0,2.902999878E2,5.510424970E-2,3.790092468E0,3.000000000E0,2.600000000E1
3.415626790E1,4.301834304E1,1.382035565E1,1.068993695E2,1.510756836E2,1.639999986E0,2.943999939E2,5.680888778E-2,3.790092468E0,3.000000000E0,2.600000000E1
3.515480618E1,4.301834860E1,1.382033611E1,1.078417059E2,1.520180664E2,1.629999995E0,2.981000061E2,5.839470549E-2,3.790092468E0,3.000000000E0,2.600000000E1
3.615215853E1,4.301835413E1,1.382031813E1,1.081246235E2,1.523010254E2,1.610000014E0,2.947999878E2,5.992720603E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.715346993E1,4.301835692E1,1.382029967E1,1.083820182E2,1.525584717E2,1.529999971E0,2.811000061E2,6.136378574E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.814259472E1,4.301835701E1,1.382028200E1,1.090423611E2,1.532188721E2,1.549999952E0,2.781000061E2,6.277888808E-2,3.790092468E0,3.000000000E0,2.500000000E1
3.914381910E1,4.301835854E1,1.382026472E1,1.091572997E2,1.533338623E2,1.590000033E0,2.887999878E2,6.408810383E-2,3.790092468E0,3.000000000E0,2.600000000E1
4.015245301E1,4.301835918E1,1.382024864E1,1.096234966E2,1.538001099E2,1.539999962E0,2.818999939E2,6.531831070E-2,3.790092468E0,3.000000000E0,2.600000000E1
4.115083462E1,4.301835874E1,1.382023352E1,1.103226035E2,1.544992676E2,1.509999990E0,2.802000122E2,6.645892545E-2,3.790092468E0,3.000000000E0,2.600000000E1
4.215213373E1,4.301835622E1,1.382021992E1,1.111218675E2,1.552985840E2,1.200000048E0,2.782000122E2,6.772667924E-2,3.790092468E0,3.000000000E0,2.500000000E1
4.314745576E1,4.301835886E1,1.382020475E1,1.117304688E2,1.559072266E2,1.460000038E0,2.943999939E2,6.905552240E-2,3.790092468E0,3.000000000E0,2.300000000E1
4.414491587E1,4.301836550E1,1.382019116E1,1.117818369E2,1.559586182E2,1.429999948E0,2.982999878E2,7.033614772E-2,3.790092468E0,3.000000000E0,2.500000000E1
4.515663092E1,4.301836930E1,1.382017629E1,1.119873667E2,1.561641846E2,1.399999976E0,2.825000000E2,7.166770254E-2,3.790092468E0,3.000000000E0,2.600000000E1
4.615093535E1,4.301837199E1,1.382016033E1,1.116938659E2,1.558707275E2,1.350000024E0,2.807000122E2,7.298201123E-2,3.790092468E0,3.000000000E0,2.600000000E1
4.716090753E1,4.301837020E1,1.382014435E1,1.118966889E2,1.560736084E2,1.419999957E0,2.590000000E2,7.429222396E-2,3.790092468E0,3.000000000E0,2.500000000E1
4.815227003E1,4.301836953E1,1.382012826E1,1.120633822E2,1.562403564E2,1.360000014E0,2.776000061E2,7.543327735E-2,3.790092468E0,3.000000000E0,2.500000000E1
4.915607118E1,4.301837066E1,1.382011431E1,1.123090067E2,1.564860229E2,1.360000014E0,2.861000061E2,7.685235202E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.014588264E1,4.301836796E1,1.382009725E1,1.122963691E2,1.564734497E2,1.379999995E0,2.658999939E2,7.801998972E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.115281816E1,4.301836777E1,1.382008289E1,1.121901814E2,1.563673096E2,1.370000005E0,2.806000061E2,7.938148306E-2,3.790092468E0,3.000000000E0,2.500000000E1
5.215401404E1,4.301836742E1,1.382006615E1,1.126725475E2,1.568497314E2,1.389999986E0,2.672999878E2,8.067534877E-2,3.790092468E0,3.000000000E0,2.500000000E1
5.315578654E1,4.301836965E1,1.382005053E1,1.133022642E2,1.574794922E2,1.399999976E0,2.713999939E2,8.196917190E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.415592904E1,4.301837521E1,1.382003655E1,1.125020651E2,1.566793213E2,1.360000014E0,2.903999939E2,8.342396181E-2,3.790092468E0,3.000000000E0,2.500000000E1
5.514946633E1,4.301837769E1,1.382001898E1,1.123897718E2,1.565670776E2,1.399999976E0,2.662999878E2,8.493845195E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.615864909E1,4.301838128E1,1.382000101E1,1.122675930E2,1.564449463E2,1.340000033E0,2.866000061E2,8.640392080E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.714709357E1,4.301838045E1,1.381998302E1,1.127597801E2,1.569371948E2,1.389999986E0,2.682000122E2,8.799701418E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.814619685E1,4.301837838E1,1.381996363E1,1.129727839E2,1.571502686E2,1.370000005E0,2.628999939E2,8.944442453E-2,3.790092468E0,3.000000000E0,2.400000000E1
5.916092498E1,4.301837918E1,1.381994586E1,1.132277942E2,1.574053345E2,1.370000005E0,2.788999939E2,9.089725403E-2,3.790092468E0,3.000000000E0,2.400000000E1
6.016257638E1,4.301838225E1,1.381992849E1,1.134646856E2,1.576422729E2,1.379999995E0,2.817000122E2,9.245419468E-2,3.790092468E0,3.000000000E0,2.400000000E1
6.114445706E1,4.301838540E1,1.381990983E1,1.137117048E2,1.578893433E2,1.399999976E0,2.738999939E2,9.406522462E-2,3.790092468E0,3.000000000E0,2.400000000E1
6.215215649E1,4.301838954E1,1.381989084E1,1.133794414E2,1.575571289E2,1.389999986E0,2.802999878E2,9.573816262E-2,3.790092468E0,3.000000000E0,2.400000000E1
6.315071320E1,4.301839308E1,1.381987084E1,1.131728442E2,1.573505859E2,1.419999957E0,2.763999939E2,9.726292328E-2,3.790092468E0,3.000000000E0,2.400000000E1
6.415408195E1,4.301839542E1,1.381985236E1,1.129569098E2,1.571347046E2,1.429999948E0,2.696000061E2,9.866231288E-2,3.790092468E0,3.000000000E0,2.500000000E1
6.515343753E1,4.301839806E1,1.381983553E1,1.125986477E2,1.567764893E2,1.399999976E0,2.776000061E2,1.002188521E-1,3.790092468E0,3.000000000E0,2.500000000E1
6.615359326E1,4.301839841E1,1.381981639E1,1.132381126E2,1.574160156E2,1.409999967E0,2.723999939E2,1.017437820E-1,3.790092468E0,3.000000000E0,2.500000000E1
6.715286596E1,4.301839948E1,1.381979769E1,1.136493097E2,1.578272705E2,1.419999957E0,2.767000122E2,1.031429457E-1,3.790092468E0,3.000000000E0,2.500000000E1
6.815517055E1,4.301840182E1,1.381978078E1,1.131645816E2,1.573425903E2,1.350000024E0,2.801000061E2,1.046532703E-1,3.790092468E0,3.000000000E0,2.500000000E1
6.915349242E1,4.301840364E1,1.381976237E1,1.127385018E2,1.569165649E2,1.360000014E0,2.742999878E2,1.062199958E-1,3.790092468E0,3.000000000E0,2.500000000E1
7.015221273E1,4.301840657E1,1.381974352E1,1.123936007E2,1.565717163E2,1.440000057E0,2.832000122E2,1.076531307E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.115105904E1,4.301840919E1,1.381972626E1,1.125659158E2,1.567440796E2,1.440000057E0,2.830000000E2,1.091481065E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.215530174E1,4.301841121E1,1.381970808E1,1.119578305E2,1.561360474E2,1.429999948E0,2.860000000E2,1.105850827E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.315053383E1,4.301841232E1,1.381969047E1,1.120022711E2,1.561805420E2,1.440000057E0,2.717000122E2,1.119439803E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.415101497E1,4.301841533E1,1.381967427E1,1.119005430E2,1.560788574E2,1.490000010E0,2.891000061E2,1.140599138E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.515259778E1,4.301842135E1,1.381964958E1,1.117419119E2,1.559202881E2,2.190000057E0,2.842999878E2,1.161903302E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.615292440E1,4.301842830E1,1.381962516E1,1.117754233E2,1.559538574E2,2.119999886E0,2.863999939E2,1.181943291E-1,3.790092468E0,3.000000000E0,2.400000000E1
7.715504450E1,4.301842685E1,1.381960059E1,1.125716031E2,1.567501221E2,2.049999952E0,2.802000122E2,1.202462816E-1,3.790092468E0,3.000000000E0,2.400000000E1
